nct_id,include,concept_id,concept_name,domain,negation,concept_group_id,start_index,end_index,entity_source_text,temporal_source_text,before_days,numeric_source_text,numeric_att_min,numeric_att_max,is_exclusion
NCT04342663,1,254761,Cough,Condition,0,,222,227,cough,Currently,10000,"",-99999,99999,0
NCT04323761,0,44806420,Estimation of glomerular filtration rate,Measurement,0,4100349434,1758,1762,eGRF,"",0,< 30 mL/min,-99999,30,1
NCT04343651,1,45876226,Heart rate,Measurement,0,4100378934,507,509,HR,"",0,<90,-99999,90,0
NCT04345614,1,254761,Cough,Condition,0,4100383834,180,185,cough,"",0,"",-99999,99999,0
NCT04346628,1,254761,Cough,Condition,0,4100386034,404,409,Cough,"",0,"",-99999,99999,0
NCT04347239,1,254761,Cough,Condition,0,4100387534,428,433,cough,"",0,"",-99999,99999,0
NCT04338360,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,4100370934,214,222,COVID-19,"",0,"",-99999,99999,0
NCT04338360,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,4100371034,403,411,COVID-19,within 24 to 48 hours,2,"",-99999,99999,0
NCT04338360,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,4100371134,674,682,COVID-19,"",0,"",-99999,99999,0
NCT04339998,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,56,64,COVID-19,"",0,"",-99999,99999,0
NCT04340050_donor,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,133,141,COVID-19,previously,10000,"",-99999,99999,0
NCT04340050_recipient,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,107,115,COVID-19,in past 30 days,30,"",-99999,99999,0
NCT04340050_recipient,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,4100371634,168,176,COVID-19,"",0,"",-99999,99999,0
NCT04340050_recipient,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,4100371534,168,176,COVID-19,within 24 to 48 hours,2,"",-99999,99999,0
NCT04341935,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,129,137,COVID-19,History of,0,"",-99999,99999,0
NCT04343651,1,4313591,Respiratory rate,Measurement,0,4100378934,500,502,RR,"",0,<20,-99999,20,0
NCT04321811,1,4192174,Illness,Condition,1,,188,192,sick,"",0,"",-99999,99999,1
NCT04343651,0,132797,Sepsis,Condition,0,,2291,2309,systemic infection,at the time of screening,10000,"",-99999,99999,1
NCT04325906,0,4215028,pH measurement,Measurement,0,4100350134,359,361,pH,"",0,<7.30,-99999,7.3,1
NCT04320615,0,4267147,Platelet count,Measurement,0,,1595,1609,Platelet count,at screening,0,"< 50,000/mL",-99999,50000,1
NCT04343976,0,4267147,Platelet count,Measurement,0,,816,830,Platelet count,"",0,"<90,000 cells/mm3",-99999,90000,1
NCT04315298,0,4267147,Platelet count,Measurement,0,4100344234,1004,1013,platelets,at screening,0,"<50,000 per mm3",-99999,50000,1
NCT04331795_A,0,4267147,Platelet count,Measurement,0,4100359534,2189,2198,Platelets,"",0,"< 50,000/uL",-99999,50000,1
NCT04331795_B,0,4267147,Platelet count,Measurement,0,4100361134,1259,1268,Platelets,"",0,"< 50,000/uL",-99999,50000,1
NCT04328961,0,4024539,Polymorphonuclear leukocyte count,Measurement,0,4100354634,1176,1204,polymorphonuclear leukocytes,"",0,< 1500,-99999,1500,1
NCT04350073,0,4101694,Peak inspiratory pressure,Measurement,0,,625,650,Peak ventilatory pressure,within 72 hours,3,> 30cmH20,20,30,1
NCT04341116,0,4267147,Platelet count,Measurement,0,4100374534,1584,1593,Platelets,"",0,< 50  109/L,50,109,1
NCT04345601,0,432545,Bacterial infectious disease,Condition,0,4100383734,1345,1377,bacterial co-infection,"",0,"",-99999,99999,1
NCT04350073,0,3022875,Positive end expiratory pressure setting Ventilator,Measurement,0,,574,613,Positive end expiratory pressure (PEEP),within 72 hours,3,> 10cmH2O,2,10,1
NCT04341727,0,37394212,Potassium level,Measurement,0,,1808,1817,Potassium,Concurrent,0,<3.3 >5.5 mEg/L,3.3,5.5,1
NCT04325906,0,4152194,Systolic blood pressure,Measurement,0,4100350334,563,566,SBP,"",0,<90mmHg,-99999,90,1
NCT04340557,0,4152194,Systolic blood pressure,Measurement,0,,830,833,SBP,at baseline or any time during treatment in the study treatment arm,0,<110 mmHg,-99999,110,1
NCT04347239,1,4152194,Systolic blood pressure,Measurement,1,4100387834,1214,1217,SBP,"",0,< 90 mm Hg,-99999,90,1
NCT04325906,0,4310328,Blood oxygen saturation,Measurement,0,4100350134,249,253,SpO2,"",0,<80%,-99999,80,1
NCT04333225,0,4185135,Breastfeeding,Condition,0,4100363234,2264,2277,breastfeeding,"",0,"",-99999,99999,1
NCT03808922_covid19sub,0,4230543,"Biblrubin, total measurement",Measurement,0,4100333434,2780,2782,TB,"",0,2x ULN,-99999,2,1
NCT04345614,0,42873108,Clinical opiate withdrawal scale,Measurement,0,4100383834,1597,1654,time to withdrawal of life-sustaining treatments expected,"",0,<7 days,-99999,7,1
NCT03808922_covid19sub,0,4230543,"Bilirubin, total measurement",Measurement,0,4100333234,2705,2728,Total Bilirubin (TBILI),"",0,2x ULN,-99999,2,1
NCT03808922_main,0,4230543,"Bilirubin, total measurement",Measurement,0,4100335134,2705,2728,Total Bilirubin (TBILI),"",0,2x ULN,-99999,2,1
NCT04332991,0,4112341,Acute respiratory infections,Condition,0,,822,849,acute respiratory infection,within 72 hours prior to enrollment,3,"",-99999,99999,1
NCT04333732,0,4112341,Acute respiratory infections,Condition,0,,691,718,acute respiratory infection,current,10000,"",-99999,99999,1
NCT04334954,0,4112341,Acute respiratory infections,Condition,0,4100365434,632,659,acute respiratory infection,"",0,"",-99999,99999,1
NCT04329923_1,0,374028,Age related macular degeneration,Condition,0,4100355734,2515,2547,age related macular degeneration,history of,0,"",-99999,99999,1
NCT04329923_2,0,374028,Age related macular degeneration,Condition,0,4100356734,2515,2547,age related macular degeneration,history of,0,"",-99999,99999,1
NCT04328012_1,0,9999,Allergy to lopinavir/ritonavir,Condition,0,,922,967,Allergy or intolerance to lopinavir/ritonavir,within 1 month,30,"",-99999,99999,1
NCT04328012_3,0,9999,Allergy to losartan,Condition,0,4100352434,1906,1940,Allergy or intolerance to losartan,"",0,"",-99999,99999,1
NCT04328012_3,0,9999,Allergy to Angiotensin Receptor Blockers,Condition,0,4100352434,1906,1973,Allergy or intolerance to other ARBs,"",0,"",-99999,99999,1
NCT04332107,1,4240901,Allergy to macrolide antibiotic,Condition,1,,308,355,allergy or other contraindication to macrolides,at the time of enrollment,10000,"",-99999,99999,1
NCT04336332,0,4171312,Allergy to azithromycin,Condition,0,4100368034,596,652,Allergy or prior adverse reaction to either azithromycin,"",0,"",-99999,99999,1
NCT04336332,0,4171296,Allergy to hydroxychloroquine,Condition,0,4100368034,596,682,Allergy or prior adverse reaction to hydroxychloroquine sulfate,"",0,"",-99999,99999,1
NCT04332991,0,4168581,Allergy to amodiaquine,Condition,0,4100362334,1099,1157,allergy to amodiaquine,"",0,"",-99999,99999,1
NCT04340557,0,9999,Allergy to ACE inhibitors,Condition,0,4100373334,677,712,allergy to any ACE-inhibitor,"",0,"",-99999,99999,1
NCT04348240_highrisk,0,254761,Cough,Condition,0,4100389134,1070,1075,cough,"",0,"",-99999,99999,1
NCT04305457,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,863,871,COVID-19,for more than 72 hours,3,"",-99999,99999,1
NCT04337216,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,1,,1441,1448,COVD-19,within the 4 weeks,28,"",-99999,99999,0
NCT04320615,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,1,,470,478,COVID-19,at screening,0,"",-99999,99999,0
NCT04323787,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,1,,227,235,COVID-19,within 7 days,7,"",-99999,99999,0
NCT04326036,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,1,4100350534,922,930,COVID-19,history of,0,"",-99999,99999,0
NCT04318444,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,4100345934,465,473,COVID-19,current,10000,"",-99999,99999,1
NCT04318444,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,687,695,COVID-19,Current,10000,"",-99999,99999,1
NCT04321811,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,1,,151,159,COVID-19,"",0,"",-99999,99999,1
NCT04333654,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,220,228,COVID-19,Concurrent,0,"",-99999,99999,1
NCT04320615,0,9999,Allergy to monoclonal antibodies,Condition,0,4100347334,305,361,allergic reactions to other monoclonal antibodies,"",0,"",-99999,99999,1
NCT04320615,0,9999,Allergy to tocilizumab,Condition,0,4100347334,305,330,allergic reactions to TCZ,"",0,"",-99999,99999,1
NCT04344457,0,9999,Allergy to study medication,Condition,0,,581,626,allergic to research drugs or drug excipients,"",0,"",-99999,99999,1
NCT04333225,0,4168725,Allergy to 4-quinolones,Condition,0,,1941,1969,Allergies: 4-Aminoquinolines,during Screening,0,"",-99999,99999,1
NCT04335630,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,1,,317,325,COVID-19,"",0,"",-99999,99999,0
NCT04347226,0,433701,Mycosis,Condition,1,,4323,4339,fungal infection,History of,0,"",-99999,99999,0
NCT04311177,1,437663,Fever,Condition,0,4100341734,147,152,fever,"",0,"",-99999,99999,0
NCT04335084,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,640,648,COVID-19,for the duration of the study,0,"",-99999,99999,1
NCT04335630,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,246,254,COVID-19,"",0,"",-99999,99999,1
NCT04336215,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,857,865,COVID-19,on the day of their first visit to the study site,-19,"",-99999,99999,1
NCT04337216,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,460,468,COVID-19,within the 4 weeks,28,"",-99999,99999,1
NCT04328467,0,437663,Fever,Condition,0,4100353534,545,550,fever,Current,10000,"",-99999,99999,1
NCT04328961,0,437663,Fever,Condition,0,4100354434,904,909,fever,"",0,"",-99999,99999,1
NCT04336215,0,437663,Fever,Condition,0,,1162,1167,fever,on the day of their first visit to the study site,-19,"",-99999,99999,1
NCT04344600,0,437663,Fever,Condition,0,4100382934,280,285,fever,within 72 hours,3,"",-99999,99999,1
NCT04348370,0,437663,Fever,Condition,0,4100389734,504,509,Fever,within the past 24 hours,1,"",-99999,99999,1
NCT04341441,1,437663,Fever,Condition,1,4100374834,199,205,fevers,"",0,"",-99999,99999,1
NCT04345601,0,433701,Mycosis,Condition,0,4100383734,1358,1377,fungal co-infection,"",0,"",-99999,99999,1
NCT03808922_covid19sub,0,433701,Mycosis,Condition,0,,4417,4433,fungal infection,most recent,0,"",-99999,99999,1
NCT04320615,0,433701,Mycosis,Condition,0,4100347434,427,460,fungal infection,"",0,"",-99999,99999,1
NCT04341727,0,4269764,Glucose-6-phosphate dehydrogenase deficiency anemia,Condition,0,,1470,1487,G-6-PD deficiency,Concurrent,0,"",-99999,99999,1
NCT04329923_3,1,37310859,Foetal gastrointestinal abnormality,Condition,1,4100358334,1986,2016,gastrointestinal abnormalities,"",0,"",-99999,99999,1
NCT04311697,0,4077820,Pangastrointestinal system dysfunction,Condition,0,4100342434,301,325,gastrointestinal failure,"",0,"",-99999,99999,1
NCT04331795_A,0,4202064,Gastrointestinal perforation,Condition,0,4100359834,2485,2513,gastrointestinal perforation,history of,0,"",-99999,99999,1
NCT04283461,0,441202,Anaphylaxis,Condition,0,,6822,6833,anaphylaxis,within 2 weeks before or after each vaccination,14,"",-99999,99999,1
NCT04283461,0,432791,Angioedema,Condition,0,4100338034,6858,6868,angioedema,plans to receive,0,"",-99999,99999,1
NCT04311177,0,432791,Angioedema,Condition,0,4100341934,478,488,angioedema,Prior,0,"",-99999,99999,1
NCT04329923_1,0,313217,Atrial fibrillation,Condition,1,,3870,3889,atrial fibrillation,within 14 days prior to screening evaluation,14,"",-99999,99999,0
NCT04329923_2,0,313217,Atrial fibrillation,Condition,1,,3870,3889,atrial fibrillation,within 14 days prior to screening evaluation,14,"",-99999,99999,0
NCT04329923_3,0,313217,Atrial fibrillation,Condition,1,,3870,3889,atrial fibrillation,within 14 days prior to screening evaluation,14,"",-99999,99999,0
NCT04312009,0,432791,Angioedema,Condition,0,4100342734,682,692,angioedema,Prior,0,"",-99999,99999,1
NCT04340557,0,432791,Angioedema,Condition,0,4100373334,724,734,angioedema,"",0,"",-99999,99999,1
NCT04343989,0,377845,Anoxic encephalopathy,Condition,0,4100381534,2661,2680,anoxic brain injury,"",0,"",-99999,99999,1
NCT04343183,0,441542,Anxiety,Condition,0,4100378634,360,367,anxiety,"",0,"",-99999,99999,1
NCT04328012_3,0,4189343,Aortic valve stenosis,Condition,0,4100353134,2413,2444,aortic valve stenosis,"",0,"",-99999,99999,1
NCT04333225,0,137829,Aplastic anemia,Condition,0,4100362634,1367,1382,aplastic anemia,history of,0,"",-99999,99999,1
NCT04317040,0,4195694,Acute respiratory distress syndrome,Condition,0,,445,449,ARDS,"",0,"",-99999,99999,1
NCT04351620,0,44784217,Cardiac arrhythmia,Condition,0,,2003,2014,arrhythmias,History of,0,"",-99999,99999,1
NCT03808922_covid19sub,0,432545,Bacterial infectious disease,Condition,0,4100334034,4403,4433,bacterial infection,concurrent,0,"",-99999,99999,1
NCT03808922_main,0,432545,Bacterial infectious disease,Condition,0,4100335634,3566,3596,bacterial infection,concurrent,0,"",-99999,99999,1
NCT04347226,0,432545,Bacterial infectious disease,Condition,1,,4310,4339,bacterial infection,History of,0,"",-99999,99999,0
NCT04283461,0,4112752,Basal cell carcinoma of skin,Condition,1,,5183,5233,basal cell carcinoma of the skin,within 2 weeks before or after each vaccination,14,"",-99999,99999,0
NCT04320615,0,432545,Bacterial infectious disease,Condition,0,4100347434,416,460,bacterial infection,"",0,"",-99999,99999,1
NCT04333225,0,432545,Bacterial infectious disease,Condition,0,4100362434,2133,2160,bacterial infection,"",0,"",-99999,99999,1
NCT04337216,0,432545,Bacterial infectious disease,Condition,0,4100369834,1371,1400,bacterial infection,History of,0,"",-99999,99999,1
NCT04340232,0,432545,Bacterial infectious disease,Condition,0,4100372834,1688,1717,bacterial infection,"",0,"",-99999,99999,1
NCT04348370,0,432545,Bacterial infectious disease,Condition,0,4100389934,672,691,bacterial infection,"",0,"",-99999,99999,1
NCT04325672,0,4185135,Breastfeeding,Condition,0,4100349834,410,423,breastfeeding,during the study period,0,"",-99999,99999,1
NCT04333654,0,4185135,Breastfeeding,Condition,0,4100363534,286,299,breastfeeding,skin reactions,0,"",-99999,99999,1
NCT04336410,0,4185135,Breastfeeding,Condition,0,4100368634,898,911,breastfeeding,within the projected duration of the trial from screening until 3 months following last dose,90,"",-99999,99999,1
NCT04340050_recipient,0,4185135,Breastfeeding,Condition,0,4100371734,1386,1399,breastfeeding,during the study period,0,"",-99999,99999,1
NCT04341116,0,4185135,Breastfeeding,Condition,0,4100374734,1805,1818,breastfeeding,"",0,"",-99999,99999,1
NCT04344535_recipient,1,4185135,Breastfeeding,Condition,1,,459,472,breastfeeding,"",0,"",-99999,99999,1
NCT04347226,1,4185135,Breastfeeding,Condition,1,,1635,1648,breastfeeding,History of,0,"",-99999,99999,1
NCT04348370,0,4185135,Breastfeeding,Condition,0,,628,641,Breastfeeding,Previous,0,"",-99999,99999,1
NCT04322682,0,4185135,Breastfeeding,Condition,0,4100348834,1980,1994,breast-feeding,during the study or for 6 months after the last dose of study medication,180,"",-99999,99999,1
NCT04345653,0,4185135,Breastfeeding,Condition,0,4100384934,520,534,breast-feeding,"",0,"",-99999,99999,1
NCT04342728,0,201620,Kidney stone,Condition,0,,823,852,Calcium Oxalate kidney stones,History of,0,"",-99999,99999,1
NCT04329923_1,0,443392,Malignant neoplastic disease,Condition,0,4100356034,3069,3075,cancer,"",0,"",-99999,99999,1
NCT04345692,0,4185135,Breastfeeding,Condition,0,4100385534,858,872,breast feeding,"",0,"",-99999,99999,1
NCT04322682,1,4142985,Female of child bearing age,Condition,1,4100348234,827,849,childbearing potential,for at least 1 year,365,"",-99999,99999,1
NCT04333225,0,4142985,Female of child bearing age,Condition,0,,1067,1089,childbearing potential,during Screening,0,"",-99999,99999,1
NCT04334967,0,4142985,Female of child bearing age,Condition,0,,1446,1468,childbearing potential,Currently,10000,"",-99999,99999,1
NCT04322682,0,4026125,Chronic active hepatitis,Condition,0,4100348734,1892,1916,chronic active hepatitis,history of,0,"",-99999,99999,1
NCT04346628,0,443783,Chronic disease,Condition,0,,899,914,chronic disease,Previously,10000,"",-99999,99999,1
NCT04308668,0,46271022,Chronic kidney disease,Condition,0,4100341534,498,520,chronic kidney disease,"",0,"",-99999,99999,1
NCT04312009,0,46271022,Chronic kidney disease,Condition,0,4100343034,1498,1520,chronic kidney disease,at the time of randomization,10000,"",-99999,99999,1
NCT04318444,0,46271022,Chronic kidney disease,Condition,0,4100346134,1172,1194,chronic kidney disease,Current,10000,"",-99999,99999,1
NCT04328467,0,46271022,Chronic kidney disease,Condition,0,4100353634,659,681,Chronic Kidney disease,"",0,"",-99999,99999,1
NCT04341727,0,46271022,Chronic kidney disease,Condition,0,4100376434,1423,1445,Chronic Kidney disease,"",0,"",-99999,99999,1
NCT04343651,0,46271022,Chronic kidney disease,Condition,0,4100380034,2218,2240,chronic kidney disease,>12,0,"",-99999,99999,1
NCT04345692,0,46271022,Chronic kidney disease,Condition,0,4100385434,782,804,chronic kidney disease,Subject (or legally authorized representative) provides written informed consent prior to initiation of any study procedures,0,"",-99999,99999,1
NCT04351620,0,46271022,Chronic kidney disease,Condition,0,4100393534,1634,1656,chronic kidney disease,"",0,"",-99999,99999,1
NCT04341116,0,255573,Chronic obstructive lung disease,Condition,0,,835,879,Chronic obstructive pulmonary disease (COPD),"",0,"",-99999,99999,1
NCT04341441,1,77670,Chest pain,Condition,1,,271,282,chest pains,history of,0,"",-99999,99999,1
NCT04326452,0,443432,Impaired cognition,Condition,0,4100350734,222,242,cognitive impairment,"",0,"",-99999,99999,1
NCT04331366,0,443432,Impaired cognition,Condition,0,,251,271,Cognitive impairment,"",0,"",-99999,99999,1
NCT04318444,0,46235351,Comorbid condition,Condition,0,4100346134,1065,1078,comorbidities,Current,10000,"",-99999,99999,1
NCT04335084,0,46235351,Comorbid condition,Condition,0,4100366134,779,792,comorbidities,"",0,"",-99999,99999,1
NCT04326036,0,4160039,Co-morbid conditions,Condition,0,,1207,1221,co-morbidities,"",0,"",-99999,99999,1
NCT04337216,0,4192174,Illness,Condition,0,4100369834,607,626,concomitant illness,History of,0,"",-99999,99999,1
NCT04341116,0,46234708,Condition,Condition,0,4100374134,643,652,condition,within 2 weeks prior to enrollment,14,"",-99999,99999,1
NCT04283461,0,319835,Congestive heart failure,Condition,0,4100336834,4721,4745,congestive heart failure,at any time prior to or during the study,0,"",-99999,99999,1
NCT04320511,0,319835,Congestive heart failure,Condition,0,4100346634,436,460,Congestive Heart Failure,"",0,"",-99999,99999,1
NCT04329923_1,0,319835,Congestive heart failure,Condition,0,4100356334,4071,4095,congestive heart failure,4 days since,4,"",-99999,99999,1
NCT04329923_2,0,319835,Congestive heart failure,Condition,0,4100357334,4071,4095,congestive heart failure,Current  ,10000,"",-99999,99999,1
NCT04329923_3,0,319835,Congestive heart failure,Condition,0,4100358234,4071,4095,congestive heart failure,Current  ,10000,"",-99999,99999,1
NCT04318444,0,254761,Cough,Condition,0,,521,526,cough,Current,10000,"",-99999,99999,1
NCT04344600,0,254761,Cough,Condition,0,,273,278,cough,at screening,0,"",-99999,99999,1
NCT04348240_covid19,0,254761,Cough,Condition,0,4100388934,1070,1075,cough,"",0,"",-99999,99999,1
NCT04343677,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,4100380234,297,305,COVID-19,"",0,"",-99999,99999,1
NCT04350593,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,648,656,COVID-19,within last 6 months,180,"",-99999,99999,1
NCT04342195,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,1,,577,585,COVID-19,duration of at least 4 weeks from day of enrollment,1,"",-99999,99999,0
NCT04343261,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,1,4100378734,622,630,COVID-19,within 24 to 48 hours,2,93%,93,99999,0
NCT04343651,1,254761,Cough,Condition,0,,346,351,cough,at the time of screening,10000,"",-99999,99999,0
NCT04333732,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,4100363934,623,641,COVID-19 diagnosis,within the last 6 months,180,"",-99999,99999,1
NCT04328467,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,519,535,COVID-19 disease,Prior,0,"",-99999,99999,1
NCT04328467,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,495,511,COVID-19 disease,Prior,0,"",-99999,99999,1
NCT04341441,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,874,890,COVID-19 disease,history of,0,"",-99999,99999,1
NCT04334954,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,4100365334,274,291,COVID19 infection,history of,0,"",-99999,99999,1
NCT04345653,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,725,743,COVID-19 infection,"",0,"",-99999,99999,1
NCT04317040,0,46234708,Condition,Condition,0,,423,441,critical condition,"",0,"",-99999,99999,1
NCT04322682,0,201606,Crohn's disease,Condition,0,4100348634,1558,1573,Crohn's disease,"",0,"",-99999,99999,1
NCT04335552,0,4306655,Death,Condition,0,,1443,1448,Death,within 48 hours of enrollment,2,"",-99999,99999,1
NCT04342663,0,37396401,Decompensated cirrhosis of liver,Condition,0,4100378034,691,714,decompensated cirrhosis,"",0,"",-99999,99999,1
NCT04341675,0,4311437,Decompensated chronic heart failure,Condition,0,4100375834,1481,1508,Decompensated heart failure,history of,0,"",-99999,99999,1
NCT04344600,0,37396401,Decompensated cirrhosis of liver,Condition,0,4100382834,557,584,decompensated liver disease,"",0,"",-99999,99999,1
NCT04311177,0,37397687,Decreased urine output,Condition,0,,1455,1477,decreased urine output,dehydration,0,"",-99999,99999,1
NCT04338126,0,4133004,Deep venous thrombosis,Condition,0,4100370534,292,312,deep vein thrombosis,History or,0,"",-99999,99999,1
NCT04338074,0,4133004,Deep venous thrombosis,Condition,0,4100370334,178,200,deep venous thrombosis,History of,0,"",-99999,99999,1
NCT04311177,0,435796,Dehydration,Condition,0,,1425,1436,dehydration,dehydration,0,"",-99999,99999,1
NCT04312009,0,435796,Dehydration,Condition,0,,1645,1656,dehydration,within 24 hours prior to randomization,1,"",-99999,99999,1
NCT04329923_3,0,140168,Psoriasis,Condition,0,4100357834,2694,2703,psoriasis,"",0,"",-99999,99999,1
NCT04333732,0,440383,Depressive disorder,Condition,0,4100364234,1485,1495,depression,currently,10000,"",-99999,99999,1
NCT04333225,0,4080975,Dermatitis,Condition,0,4100362734,1522,1532,dermatitis,"",0,"",-99999,99999,1
NCT04344184,0,443727,Diabetic ketoacidosis,Condition,0,,546,567,diabetic ketoacidosis,"",0,"",-99999,99999,1
NCT04350593,0,443727,Diabetic ketoacidosis,Condition,0,,1280,1301,diabetic ketoacidosis,within last 6 months,180,"",-99999,99999,1
NCT04341935,0,443727,Diabetic ketoacidosis,Condition,0,,692,719,Diabetic Ketoacidosis (DKA),History of,0,"",-99999,99999,1
NCT04334967,0,4174977,Retinopathy due to diabetes mellitus,Condition,0,4100365534,615,635,diabetic retinopathy,hospitalized,0,"",-99999,99999,1
NCT04322682,0,196523,Diarrhea,Condition,0,4100348634,1606,1614,diarrhea,"",0,"",-99999,99999,1
NCT04334512,0,196523,Diarrhea,Condition,0,,492,500,Diarrhea,at screening,0,"",-99999,99999,1
NCT04335084,0,196523,Diarrhea,Condition,0,,650,658,Diarrhea,for the duration of the study,0,"",-99999,99999,1
NCT04341441,1,4041664,Difficulty breathing,Condition,1,,228,248,difficulty breathing,history of,0,"",-99999,99999,1
NCT04338126,0,436093,Disseminated intravascular coagulation,Condition,0,4100370534,338,372,diffuse intravascular coagulopathy,History or,0,"",-99999,99999,1
NCT04341116,0,4274025,Disease,Condition,0,4100374134,632,639,disease,within 2 weeks prior to enrollment,14,"",-99999,99999,1
NCT04283461,0,432585,Blood coagulation disorder,Condition,0,4100337434,7670,7693,disorder of coagulation,"",0,"",-99999,99999,1
NCT04331795_A,0,4141224,Diverticulitis,Condition,0,4100359834,2524,2538,diverticulitis,history of,0,"",-99999,99999,1
NCT04331795_B,0,4141224,Diverticulitis,Condition,0,,1594,1608,diverticulitis,history of,0,"",-99999,99999,1
NCT04343989,0,4141224,Diverticulitis,Condition,0,,2748,2762,diverticulitis,from enrollment until at 5 months after the last dose of study drug,150,"",-99999,99999,1
NCT04333225,0,436954,Drug abuse,Condition,0,4100363134,2188,2209,drug abuse,"",0,"",-99999,99999,1
NCT04343976,0,436954,Drug abuse,Condition,0,4100381134,1102,1112,drug abuse,within 12 months of screening,365,"",-99999,99999,1
NCT04346628,0,436954,Drug abuse,Condition,0,4100386334,1114,1124,drug abuse,in the previous two years,730,"",-99999,99999,1
NCT04345653,0,4022093,Electrolyte imbalance,Condition,0,4100384734,579,601,electrolytic imbalance,"",0,"",-99999,99999,1
