nct_id,start_date,status,phase,study_type,brief_title,condition_names,intervention_names,gender,minimum_age,maximum_age,healthy_volunteers,zip_codes,primary_purpose
NCT04349371,2020-04-30,Recruiting,Phase 2,Interventional,Saved From COVID-19,COVID,Chloroquine|Placebo oral tablet,All,18,,No,10032,Prevention
NCT04350450,2020-04-30,Not yet recruiting,Phase 2,Interventional,Hydroxychloroquine Treatment of Healthcare Workers With COVID19 Illness at Montefiore,Coronavirus|COVID|COVID-19,Hydroxychloroquine,All,18,99,No,10467,Treatment
NCT04350476,2020-04-30,Not yet recruiting,N/A,Interventional,COVID-19 Remote Monitoring,Cardiac Arrhythmias|COVID-19,VitalConnect Vital Sign Patch,All,18,,No,10029,Screening
NCT04348435,2020-04-23,Enrolling by invitation,Phase 2,Interventional,Study of Allogeneic HB-adMSCs to Provide Immune Support Against COVID-19,COVID-19,HB-adMSCs|Placebos,All,,,Accepts Healthy Volunteers,77478,Prevention
NCT04344184,2020-04-22,Not yet recruiting,Phase 2,Interventional,Early Infusion of Vitamin C for Treatment of Novel COVID-19 Acute Lung Injury (EVICT-CORONA-ALI),"COVID-19|Lung Injury, Acute",L-ascorbic acid,All,18,,No,23249|23298,Treatment
NCT04348240,2020-04-22,Recruiting,,Observational,Transmissibility and Viral Load of SARS-CoV-2 in Oral Secretions,COVID-19,,All,18,,No,20892,
NCT04334954,2020-04-22,Recruiting,,Observational,SARS-COV2 Pandemic Serosurvey and Blood Sampling,SARS-COV2 Virus,,All,18,,Accepts Healthy Volunteers,20892,
NCT04339790,2020-04-20,Recruiting,,Observational,Mental Health Impact of COVID-19 Pandemic on NIMH Research Participants and Volunteers,Anxiety Disorder|Healthy Volunteer|Mood Disorder|Preexisting Medical Condition,,All,18,,Accepts Healthy Volunteers,20892,
NCT04350073,2020-04-17,Not yet recruiting,N/A,Interventional,Longitudinal Energy Expenditure and Metabolic Effects in Patients With COVID-19 (LEEP-COVID),COVID-19,Multifrequency Bioimpedance Spectroscopy|MuscleSound Ultrasound|Q-NRG Metobolic Cart Device,All,18,,No,27710,Diagnostic
NCT04344457,2020-04-16,Recruiting,Phase 1/Phase 2,Interventional,"Evaluate the Efficacy and Safety of Oral Hydroxychloroquine, Indomethacin and Zithromax in Subjects With Mild Symptoms of COVID-19",COVID-19,Hydroxychloroquine|Indomethacin|Zithromax Oral Product,All,18,,No,85254,Treatment
NCT04349631,2020-04-16,Enrolling by invitation,Phase 2,Interventional,A Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Autologous Mesenchymal Stem Cell Therapy (HB-adMSCs) to Provide Protection Against COVID-19,COVID-19,HB-adMSCs,All,,,Accepts Healthy Volunteers,77478,Prevention
NCT04338074,2020-04-15,Not yet recruiting,Phase 2,Interventional,TXA and Corona Virus 2019 (COVID19) in Outpatients,COVID-19,Placebo oral tablet|Tranexamic acid tablets,All,19,,No,35222,Treatment
NCT04341675,2020-04-15,Recruiting,Phase 2,Interventional,Sirolimus Treatment in Hospitalized Patients With COVID-19 Pneumonia,COVID-19,Placebo|Sirolimus,All,18,,No,45267,Treatment
NCT04339998,2020-04-15,Not yet recruiting,,Observational,Assessment of Exam Findings in Coronavirus Disease 2019 (COVID-19) With Point-of-Care Ultrasonography (POCUS),Coronavirus Infection|COVID|Covid-19|SARS-CoV-2,Point-of-Care Ultrasonography (POCUS),All,18,,No,55103|55455,
NCT04350593,2020-04-15,Recruiting,Phase 3,Interventional,Dapagliflozin in Respiratory Failure in Patients With COVID-19,COVID-19,Dapagliflozin 10 MG|Placebo,All,18,,No,64111,Treatment
NCT04338126,2020-04-15,Not yet recruiting,Phase 2,Interventional,Tranexamic Acid (TXA) and Corona Virus 2019 (COVID19) in Inpatients,COVID19,Placebo oral tablet|Tranexamic acid,All,19,,No,35233,Treatment
NCT04347239,2020-04-15,Recruiting,Phase 2,Interventional,Study to Evaluate the Efficacy and Safety of Leronlimab for Patients With Severe or Critical Coronavirus Disease 2019 (COVID-19),Coronavirus Disease 2019,Leronlimab (700mg)|Placebos,All,18,65,No,10467,Treatment
NCT04342169,2020-04-14,Recruiting,Phase 2,Interventional,University of Utah COVID-19 Hydrochloroquine Trial,Coronavirus|Coronavirus Infection|Infectious Disease,Hydroxychloroquine|Placebo oral tablet,All,18,,No,84108,Treatment
NCT04345653,2020-04-14,Enrolling by invitation,Phase 2,Interventional,Hydroxychloroquine as Chemoprevention for COVID-19 for High Risk Healthcare Workers,COVID19,Hydroxychloroquine Sulfate (HCQ),All,18,99,Accepts Healthy Volunteers,08820,Prevention
NCT04343690,2020-04-13,Not yet recruiting,N/A,Interventional,COPING With COVID-19( CWC-19),COVID-19,Crisis management coaching,All,18,,Accepts Healthy Volunteers,27710,Other
NCT04344015,2020-04-13,Recruiting,N/A,Interventional,COVID-19 Plasma Collection,COVID-19,Plasma Donation,All,18,,No,19107,Other
NCT04312009,2020-04-13,Recruiting,Phase 2,Interventional,Losartan for Patients With COVID-19 Requiring Hospitalization,Acute Respiratory Distress Syndrome|Corona Virus Infection|SARS-CoV Infection,Losartan|Placebo,All,18,,No,55415|55455,Treatment
NCT04349410,2020-04-11,Enrolling by invitation,Phase 2/Phase 3,Interventional,The Fleming [FMTVDM] Directed CoVid-19 Treatment Protocol,CoVid 19 Positive,"Convalescent Serum|Hydroxychloroquine, Azithromycin|Hydroxychloroquine, Clindamycin|Hydroxychloroquine, Clindamycin, Primaquine - high dose.|Hydroxychloroquine, Clindamycin, Primaquine - low dose.|Hydroxychloroquine, Doxycycline|Interferon-Alpha2B|Losartan|Methylprednisolone|Remdesivir|Tocilizumab",All,,,No,90245,Treatment
NCT04341116,2020-04-11,Recruiting,Phase 1/Phase 2,Interventional,Study of TJ003234 (Anti-GM-CSF Monoclonal Antibody) in Subjects With Severe Coronavirus Disease 2019 (COVID-19),Coronavirus Disease 2019 COVID-19,Placebo|TJ003234,All,18,,No,46202|61637|70006|70121,Treatment
NCT04342663,2020-04-10,Recruiting,Phase 2,Interventional,"A Double-blind, Placebo-controlled Clinical Trial of Fluvoxamine for Symptomatic Individuals With COVID-19 Infection",Coronavirus|COVID 19,Fluvoxamine|Placebo,All,18,,No,62220|63110,Treatment
NCT04344444,2020-04-10,Recruiting,Phase 3,Interventional,Treatment in Patients With Suspected or Confirmed COVID-19 With Early Moderate or Severe Disease,COVID-19,Azithromycin|Hydroxychloroquine,All,18,100,No,70112,Treatment
NCT04340050,2020-04-10,Recruiting,Early Phase 1,Interventional,COVID-19 Convalescent Plasma,Coronavirus,anti-SARS-CoV-2 convalescent plasma,All,18,,No,60637,Treatment
NCT04342637,2020-04-10,Not yet recruiting,,Observational,COVID-19 Endoscopy Survey,COVID-19,Practice details,All,30,70,No,11507,
NCT04342806,2020-04-10,Recruiting,,Observational [Patient Registry],"Healthcare Worker Exposure Response and Outcomes (HERO) Registry Study, COVID-19",COVID-19|Health Care Worker (HCW),,All,18,89,,27701,
NCT04343261,2020-04-10,Not yet recruiting,Phase 2,Interventional,Convalescent Plasma in the Treatment of COVID 19,Coronavirus|COVID|SARS-CoV-2,Convalescent Plasma,All,18,90,No,06105,Treatment
NCT04311177,2020-04-09,Recruiting,Phase 2,Interventional,Losartan for Patients With COVID-19 Not Requiring Hospitalization,Acute Respiratory Distress Syndrome|Corona Virus Infection|SARS-CoV Infection,Losartan|Placebo,All,18,,No,55415|55455,Treatment
NCT04343755,2020-04-09,Recruiting,Phase 2,Interventional,Convalescent Plasma as Treatment for Hospitalized Subjects With COVID-19 Infection,COVID-19,Convalescent Plasma,All,18,,No,07601,Treatment
NCT04329923,2020-04-09,Recruiting,Phase 2,Interventional,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),COVID-19,Hydroxychloroquine Sulfate 400 mg twice a day|Hydroxychloroquine Sulfate 600 mg once a day|Hydroxychloroquine Sulfate 600 mg twice a day|Placebo oral tablet,All,18,,Accepts Healthy Volunteers,19104,Treatment
NCT04344236,2020-04-09,Recruiting,Phase 2,Interventional,Gargling and Nasal Rinses to Reduce Oro- and Nasopharyngeal Viral Load in Patients With COVID-19,COVID-19,0.12% Chlorhexidine oral/nasal rinse|0.5% Povidone/Iodine oral/nasal rinse|Saline oral/nasal rinse,All,18,79,No,10016,Treatment
NCT04317040,2020-04-08,Recruiting,Phase 3,Interventional,CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment,Severe Coronavirus Disease (COVID-19),CD24Fc|Placebo,All,18,,No,21201,Treatment
NCT04342728,2020-04-08,Enrolling by invitation,N/A,Interventional,Coronavirus 2019 (COVID-19)- Using Ascorbic Acid and Zinc Supplementation,Corona Virus Infection|COVID,Ascorbic Acid|Ascorbic Acid and Zinc Gluconate|Standard of Care|Zinc Gluconate,All,18,,No,44195,Supportive Care
NCT04345614,2020-04-08,Recruiting,Phase 2,Interventional,A Study of CM4620-Injectable Emulsion (IE) in Patients With Severe COVID-19 Pneumonia,Pneumonia,CM4620-Injectable Emulsion,All,18,,No,48202|55101,Treatment
NCT04344535,2020-04-08,Enrolling by invitation,Phase 1/Phase 2,Interventional,Convalescent Plasma vs. Standard Plasma for COVID-19,COVID,Convalescent Plasma|Standard Donor Plasma,All,18,,No,11794,Treatment
NCT04331366,2020-04-08,Recruiting,N/A,Interventional,Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19,COVID-19,GO2 PEEP MOUTHPIECE,All,18,,No,30322|30342,Supportive Care
NCT04336215,2020-04-07,Recruiting,,Observational,Rutgers COVID-19 Cohort Study,Coronavirus|SARS-CoV-2,Non-Interventional,All,20,,Accepts Healthy Volunteers,07103|08854|08901,
NCT04341441,2020-04-07,Recruiting,Phase 3,Interventional,Will Hydroxychloroquine Impede or Prevent COVID-19,Coronavirus|Coronavirus Infections|COVID-19|SARS-CoV 2,Hydroxychloroquine - Daily Dosing|Hydroxychloroquine - Weekly Dosing|Monitoring Visit - Baseline|Monitoring Visit - Week 4|Monitoring Visit - Week 8|Placebo oral tablet|Weekly Assessment,All,18,75,Accepts Healthy Volunteers,48202|48226,Prevention
NCT04339634,2020-04-07,"Active, not recruiting",,Observational,Simulation of Risk of Adverse Drug Events Associated With the Initiation of Drugs Repurposed for the Treatment of COVID-19 in Frail Elderly Adults With Polypharmacy,Adverse Drug Event|COVID|Drug Effect|Drug Interaction,Simulation of Repurposed Drugs for COVID-19,All,55,,No,32827,
NCT04337762,2020-04-06,Recruiting,,Observational,Beat COVID-19 - Observational Trial,COVID-19,,All,18,110,,60452,
NCT04325906,2020-04-06,Not yet recruiting,N/A,Interventional,Early PP With HFNC Versus HFNC in COVID-19 Induced Moderate to Severe ARDS,Acute Respiratory Distress Syndrome|Corona Virus Infection|High Flow Nasal Cannula|Prone Positioning,high flow nasal cannula (HFNC)|Prone positioning (PP),All,18,,No,53226|60612,Treatment
NCT04328012,2020-04-06,Recruiting,Phase 2/Phase 3,Interventional,COVID MED Trial - Comparison Of Therapeutics for Hospitalized Patients Infected With SARS-CoV-2,SARS-CoV-2 Infection,Hydroxychloroquine Sulfate|lopinavir/ritonavir|Losartan|Placebos,All,18,,No,13326,Treatment
NCT04332081,2020-04-06,Recruiting,N/A,Interventional,Hyperbaric Oxygen for COVID-19 Patients,COVID-19,hyperbaric oxygen therapy (HBOT),All,18,,No,11501,Treatment
NCT04328467,2020-04-06,Recruiting,Phase 3,Interventional,Pre-exposure Prophylaxis for SARS-Coronavirus-2,Acute Respiratory Distress Syndrome|ARDS|Corona Virus Infection|COVID-19,Hydroxychloroquine|Placebo,All,18,,No,55455,Treatment
NCT04329897,2020-04-05,Enrolling by invitation,N/A,Interventional,Acceptance and Commitment Therapy Delivered by Automated Software Messaging,Coronavirus|Hip Osteoarthritis|Knee Osteoarthritis|Mental Stress,Software Messaging,All,18,,Accepts Healthy Volunteers,52242,Supportive Care
NCT04331795,2020-04-04,Recruiting,Phase 2,Interventional,"Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis",COVID-19,Tocilizumab,All,18,,No,60637,Treatment
NCT04341727,2020-04-04,Recruiting,Phase 3,Interventional,"Hydroxychloroquine,Hydroxychloroquine,Azithromycin in the Treatment of SARS CoV-2 Infection",Coronavirus Infection,Azithromycin|Chloroquine Sulfate|Hydroxychloroquine Sulfate,All,18,,No,63110,Treatment
NCT04320615,2020-04-03,Recruiting,Phase 3,Interventional,A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,COVID-19 Pneumonia,Placebo|Tocilizumab (TCZ),All,18,,No,01107|07601|10016|10468|27710|55905|60637|70809|75246|80204|90095|91942|92093|98104,Treatment
NCT04320862,2020-04-03,Recruiting,,Observational,COVID-19 Pandemic Response Network,Coronavirus|COVID-19|Influenza -Like Illness|Lower Resp Tract Infection|SARS-CoV-2|Upper Resp Tract Infection,,All,,,No,27713,
NCT04336410,2020-04-03,Recruiting,Phase 1,Interventional,"Safety, Tolerability and Immunogenicity of INO-4800 for COVID-19 in Healthy Volunteers",Coronavirus Infection,CELLECTRA® 2000|INO-4800,All,18,50,Accepts Healthy Volunteers,19104|64114,Prevention
NCT04333225,2020-04-03,Enrolling by invitation,Phase 2,Interventional,Hydroxychloroquine in the Prevention of COVID-19 Infection in Healthcare Workers,COVID-19,Hydroxychloroquine,All,18,75,Accepts Healthy Volunteers,75226,Prevention
NCT04332991,2020-04-02,Recruiting,Phase 3,Interventional,Outcomes Related to COVID-19 Treated With Hydroxychloroquine Among In-patients With Symptomatic Disease,Acute Respiratory Infection|Coronavirus|SARS-CoV Infection,Hydroxychloroquine|Placebo,All,18,,No,01199|01608|02114|02115|04102|10029|10461|10467|15261|17033|19140|22903|23298|27157|27514|29425|32608|37221|39216|40506|43210|44195|45219|48025|48109|55415|70112|77030|80045|80204|80218|84107|84132|85721|90048|90095|93701|94143|94305|95817|97239|98104|98122,Treatment
NCT04334382,2020-04-02,Recruiting,Phase 3,Interventional,Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19,COVID-19,Azithromycin|Hydroxychloroquine,All,45,,No,84107|84112,Treatment
NCT04343898,2020-04-01,Recruiting,,Observational,Study of the Treatment and Outcomes in Critically Ill Patients With COVID-19,Coronavirus Infection,No intervention,All,18,,No,02115,
NCT04333953,2020-04-01,Recruiting,,Observational [Patient Registry],COVID-19 in Patients With HIV,COVID-19|HIV/AIDS|SARS-CoV-2,No intervention,All,,,No,65212,
NCT04343651,2020-04-01,Recruiting,Phase 2,Interventional,Study to Evaluate the Efficacy and Safety of Leronlimab for Mild to Moderate COVID-19,Coronavirus Disease 2019,Leronlimab (700mg)|Placebos,All,18,99,No,10467,Treatment
NCT04336332,2020-04-01,Recruiting,Phase 2,Interventional,Randomized Comparison of Combination Azithromycin and Hydroxychloroquine vs. Hydroxychloroquine Alone for the Treatment of Confirmed COVID-19,COVID-19|SARS-CoV-2,Hydroxychloroquine Sulfate|Hydroxychloroquine Sulfate + Azithromycin,All,18,,No,07103|08901|08903,Treatment
NCT04332107,2020-04-01,Not yet recruiting,Phase 3,Interventional,Azithromycin for COVID-19 Treatment in Outpatients Nationwide,COVID-19|SARS-CoV-2,Azithromycin|Placebos,All,18,,No,94143,Treatment
NCT04333654,2020-03-31,Recruiting,Phase 1,Interventional,Hydroxychloroquine in Outpatient Adults With COVID-19,Coronavirus Infection,Hydroxychloroquine SAR321068|Placebo,All,18,,No,02115,Treatment
NCT04343989,2020-03-31,Recruiting,Phase 2,Interventional,A Randomized Placebo-controlled Safety and Dose-finding Study for the Use of the IL-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection,COVID-19,Clazakizumab 12.5 mg|Clazakizumab 25 mg|Placebo,All,18,,No,10016,Treatment
NCT04318444,2020-03-31,Not yet recruiting,Phase 2/Phase 3,Interventional,Hydroxychloroquine Post Exposure Prophylaxis for Coronavirus Disease (COVID-19),Corona Virus Infection|COVID-19,Hydroxychloroquine|Placebo oral tablet,All,18,,Accepts Healthy Volunteers,10032,Prevention
NCT04328961,2020-03-31,Not yet recruiting,Phase 1,Interventional,Hydroxychloroquine for COVID-19 PEP,Corona Virus Infection|COVID-19|SARS (Severe Acute Respiratory Syndrome),Ascorbic Acid|Hydroxychloroquine Sulfate,All,18,80,Accepts Healthy Volunteers,10016|98104,Prevention
NCT04335630,2020-03-30,Recruiting,,Observational,Cardiovascular Manifestations of COVID-19,Cardiovascular Diseases|COVID,"Electrocardiogram, telemetry, echocardiogram, laboratory values",All,18,,No,77030,
NCT04323787,2020-03-30,Recruiting,,Observational,Viral Infection and Respiratory Illness Universal Study[VIRUS]: COVID-19 Registry,Coronavirus,observational,All,,,No,32224|55905|60056|85259,
NCT04334967,2020-03-30,Enrolling by invitation,Phase 4,Interventional,Hydroxychloroquine in Patients With Newly Diagnosed COVID-19 Compared to Standard of Care,2019-nCoV|2019 Novel Coronavirus|Corona Virus Infection|COVID-19|SARS-CoV-2,Hydroxychloroquine|Vitamin C,All,45,,No,97213,Treatment
NCT04329832,2020-03-30,Recruiting,Phase 2,Interventional,Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19,COVID-19,Azithromycin|Hydroxychloroquine,All,18,,No,84107|84112,Treatment
NCT04340557,2020-03-27,Recruiting,Phase 4,Interventional,Do Angiotensin Receptor Blockers Mitigate Progression to Acute Respiratory Distress Syndrome With SARS-CoV-2 Infection,SARS-CoV Infection,Losartan,All,18,,No,91911|91942|92118|92123,Prevention
NCT04326452,2020-03-27,Recruiting,N/A,Interventional,Treating COVID-19 With a Bidirectional Oxygenation Valve,Coronavirus Infection,bidirectional oxygenation mouthpiece,All,18,,No,30342|85712|94305,Treatment
NCT04347993,2020-03-27,Recruiting,,Observational [Patient Registry],"A Prospective '"Universal'" Observational Database for COVID-19",COVID-19,,All,,,No,07601,
NCT04345692,2020-03-26,Recruiting,Phase 3,Interventional,A Randomized Controlled Clinical Trial: Hydroxychloroquine for the Treatment of COVID-19 in Hospitalized Patients,COVID-19,Hydroxychloroquine,All,18,95,No,96813,Treatment
NCT04335123,2020-03-25,Recruiting,Phase 1,Interventional,Study of Open Label Losartan in COVID-19,COVID-19,Losartan,All,18,,No,66160,Treatment
NCT04326036,2020-03-25,Enrolling by invitation,Early Phase 1,Interventional,Use of cSVF Via IV Deployment for Residual Lung Damage After Symptomatic COVID-19 Infection,COPD|Coronavirus Infection|Idiopathic Pulmonary Fibrosis|Interstitial Lung Disease|Pulmonary Alveolar Proteinosis|Viral Pneumonia,Centricyte 1000|IV Deployment Of cSVF In Sterile Normal Saline IV Solution|Liberase Enzyme (Roche)|Microcannula Harvest Adipose Derived tissue stromal vascular fraction (tSVF)|Sterile Normal Saline for Intravenous Use,All,18,90,No,59870,Treatment
NCT04326309,2020-03-25,Recruiting,,Observational,Audio Data Collection for Identification and Classification of Coughing,Asthma|Chronic Obstructive Pulmonary Disease|Common Cold|Coronavirus Infections|COVID-19|Hay Fever|Healthy|Influenza|Respiratory Tract Infections,,All,18,,Accepts Healthy Volunteers,10461,
NCT04327804,2020-03-25,Recruiting,,Observational,A Longitudinal Study of COVID-19 Positive Patients Testing Nasal Swabs and Collecting Blood Samples for Research,SARS-CoV Infection,Odd/Even birth year intervention groups,All,,,,98133,
NCT04342195,2020-03-25,Recruiting,,Observational,Acquiring Convalescent Specimens for COVID-19 Antibodies,Coronavirus Infection|Corona Virus Infection|COVID-19,Blood draw,All,18,65,No,10032,
NCT04322682,2020-03-23,Recruiting,Phase 3,Interventional,Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA),Corona Virus Infection,Colchicine|Placebo oral tablet,All,40,,No,10010,Treatment
NCT04331509,2020-03-23,Recruiting,,Observational,COVID-19 Symptom Tracker,COVID-19,No Intervention,All,18,,Accepts Healthy Volunteers,02114,
NCT04319445,2020-03-22,Recruiting,N/A,Interventional,Mindfulness During COVID-19,Anxiety|Migraine Disorders|Stress,Mindfulness session(s),All,,,Accepts Healthy Volunteers,27157,Other
