nct_id,nct_id_original,pt_cohort,include,concept_id,concept_name,domain,negation,concept_group_id,start_index,end_index,entity_source_text,temporal_source_text,before_days,numeric_source_text,numeric_att_min,numeric_att_max,is_exclusion,to_display
NCT04371393,NCT04371393,1,1,4195694,Acute respiratory distress syndrome,Condition,0,1086763542,963,967,ARDS,"",0,"",-99999,99999,0,1
NCT04355143,NCT04355143,1,1,44784217,Cardiac arrhythmia,Condition,0,,166,176,arrhythmia,"",0,"",-99999,99999,0,1
NCT04322682,NCT04322682,1,1,317009,Asthma,Condition,0,1086675342,524,530,asthma,at the time of presentation,10000,"",-99999,99999,0,1
NCT04331795,NCT04331795_A,1,1,317009,Asthma,Condition,0,1086686742,1036,1042,Asthma,history of,0,"",-99999,99999,0,1
NCT04349631,NCT04349631,1,1,317009,Asthma,Condition,0,1086725242,375,381,asthma,"",0,"",-99999,99999,0,1
NCT04351620,NCT04351620,1,1,317009,Asthma,Condition,0,1086727742,683,689,asthma,> 72h,0,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,317009,Asthma,Condition,0,,670,676,asthma,History of,0,"",-99999,99999,0,1
NCT04370782,NCT04370782,1,1,317009,Asthma,Condition,0,1086762242,659,665,asthma,history of,0,"",-99999,99999,0,1
NCT04374019,NCT04374019,1,1,317009,Asthma,Condition,0,,491,497,Asthma,"",0,"",-99999,99999,0,1
NCT04353037,NCT04353037_healthcare,2,1,4309345,Asymptomatic,Condition,0,,798,810,asymptomatic,currently,10000,"",-99999,99999,0,1
NCT04350593,NCT04350593,1,1,317576,Coronary arteriosclerosis,Condition,0,1086726142,456,494,atherosclerotic cardiovascular disease,"",0,"",-99999,99999,0,1
NCT03648372,NCT03648372_covid,1,0,313217,Atrial fibrillation,Condition,1,,7143,7162,atrial fibrillation,History of,0,"",-99999,99999,0,1
NCT03648372,NCT03648372_other,2,0,313217,Atrial fibrillation,Condition,1,,7143,7162,atrial fibrillation,<=4 weeks before the start of treatment,28,"",-99999,99999,0,1
NCT04329923,NCT04329923_1,1,0,313217,Atrial fibrillation,Condition,1,,3870,3889,atrial fibrillation,within 14 days prior to screening evaluation,14,"",-99999,99999,0,1
NCT04329923,NCT04329923_2,2,0,313217,Atrial fibrillation,Condition,1,,3870,3889,atrial fibrillation,within 14 days prior to screening evaluation,14,"",-99999,99999,0,1
NCT04329923,NCT04329923_3,3,0,313217,Atrial fibrillation,Condition,1,,3870,3889,atrial fibrillation,within 14 days prior to screening evaluation,14,"",-99999,99999,0,1
NCT04353037,NCT04353037_covid19,1,0,313217,Atrial fibrillation,Condition,1,,3523,3542,atrial fibrillation,within four days prior to time of enrollment,4,"",-99999,99999,0,1
NCT04353037,NCT04353037_healthcare,2,0,313217,Atrial fibrillation,Condition,1,,3523,3542,atrial fibrillation,currently,10000,"",-99999,99999,0,1
NCT04338828,NCT04338828,1,1,4010017,Atypical chest pain,Condition,0,1086702442,207,226,atypical chest pain,"",0,"",-99999,99999,0,1
NCT04363866,NCT04363866,1,1,4176644,Disorder of auditory system,Condition,0,,1516,1531,auditory damage,history of,0,"",-99999,99999,0,1
NCT04374565,NCT04374565,1,1,434621,Autoimmune disease,Condition,0,,434,454,autoimmune disorders,within 72 hours of admission to afloor bed (non-ICU bed),3,"",-99999,99999,0,1
NCT04362813,NCT04362813,1,0,432545,Bacterial infectious disease,Condition,1,1086748042,1138,1186,bacterial infection,"",0,"",-99999,99999,0,1
NCT04283461,NCT04283461,1,0,4112752,Basal cell carcinoma of skin,Condition,1,,8011,8061,basal cell carcinoma of the skin,history of,0,"",-99999,99999,0,1
NCT04322682,NCT04322682,1,1,4179922,Cytopenia,Condition,0,1086675342,697,708,bicytopenia,at the time of presentation,10000,"",-99999,99999,0,1
NCT04341935,NCT04341935,1,1,4318404,Lung consolidation,Condition,0,1086708442,473,497,bilateral consolidations,"",0,"",-99999,99999,0,1
NCT04341935,NCT04341935,1,1,37397362,Bilateral lung opacities on chest X-ray,Condition,0,1086708442,437,469,bilateral ground glass opacities,"",0,"",-99999,99999,0,1
NCT04345601,NCT04345601,1,1,37397362,Bilateral lung opacities on chest X-ray,Condition,0,,805,886,Bilateral opacities present on chest radiograph or computed tomographic (CT) scan,acute respiratory distress syndrome (ARDS),0,"",-99999,99999,0,1
NCT04356937,NCT04356937,1,1,37397362,Bilateral lung opacities on chest X-ray,Condition,0,1086739042,753,799,Bilateral pulmonary infiltrates on chest X ray,"",0,"",-99999,99999,0,1
NCT04372628,NCT04372628,1,1,438867,Generalized aches and pains,Condition,0,1086766342,429,439,body aches,for 6 days,6,"",-99999,99999,0,1
NCT04346628,NCT04346628,1,1,438867,Generalized aches and pains,Condition,0,1086719842,452,472,Body aches and pains,"",0,"",-99999,99999,0,1
NCT03808922,NCT03808922_main,2,1,4116092,Intracranial tumor,Condition,0,1086661142,947,959,brain cancer,at any time in the past,10000,"",-99999,99999,0,1
NCT04363437,NCT04363437,1,1,312437,Dyspnea,Condition,0,,395,402,Dyspnea,"",0,"",-99999,99999,0,1
NCT03808922,NCT03808922_main,2,1,4112853,Malignant tumor of breast,Condition,0,1086661142,939,959,breast cancer,at any time in the past,10000,"",-99999,99999,0,1
NCT04350450,NCT04350450,1,1,317576,Coronary arteriosclerosis,Condition,0,1086725642,242,245,CAD,"",0,"",-99999,99999,0,1
NCT04331795,NCT04331795_A,1,1,443392,Malignant neoplastic disease,Condition,0,1086686742,1182,1188,Cancer,history of,0,"",-99999,99999,0,1
NCT04349631,NCT04349631,1,1,443392,Malignant neoplastic disease,Condition,0,1086725242,361,367,cancer,"",0,"",-99999,99999,0,1
NCT04351620,NCT04351620,1,1,443392,Malignant neoplastic disease,Condition,0,1086727742,1251,1257,cancer,> 72h,0,"",-99999,99999,0,1
NCT04351880,NCT04351880,1,1,443392,Malignant neoplastic disease,Condition,0,1086728942,287,293,Cancer,"",0,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,443392,Malignant neoplastic disease,Condition,0,1086745742,1588,1594,cancer,for > 72h,0,"",-99999,99999,0,1
NCT04361552,NCT04361552,1,1,443392,Malignant neoplastic disease,Condition,0,1086746542,476,482,Cancer,Current,10000,"",-99999,99999,0,1
NCT04379518,NCT04379518,1,1,443392,Malignant neoplastic disease,Condition,0,,35,41,cancer,within 6 months,180,"",-99999,99999,0,1
NCT04373044,NCT04373044,1,1,134057,Disorder of cardiovascular system,Condition,0,1086768642,517,532,cardiac disease,"",0,"",-99999,99999,0,1
NCT04354714,NCT04354714,1,1,4323898,Left ventricular cardiac dysfunction,Condition,0,1086735542,728,747,Cardiac dysfunction,"",0,"",-99999,99999,0,1
NCT04372602,NCT04372602,1,1,4323898,Left ventricular cardiac dysfunction,Condition,0,1086765442,767,786,Cardiac dysfunction,"",0,"",-99999,99999,0,1
NCT04355143,NCT04355143,1,1,321710,Contusion to heart,Condition,0,,22,36,Cardiac injury,"",0,"",-99999,99999,0,1
NCT04349631,NCT04349631,1,1,134057,Disorder of cardiovascular system,Condition,0,1086725242,327,340,cardiopathies,"",0,"",-99999,99999,0,1
NCT04351620,NCT04351620,1,1,134057,Disorder of cardiovascular system,Condition,0,1086727742,1002,1024,cardiovascular disease,> 72h,0,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,134057,Disorder of cardiovascular system,Condition,0,1086745742,1026,1048,cardiovascular disease,for > 72h,0,"",-99999,99999,0,1
NCT04363866,NCT04363866,1,1,134057,Disorder of cardiovascular system,Condition,0,1086751542,1131,1153,Cardiovascular disease,"",0,"",-99999,99999,0,1
NCT04374279,NCT04374279,1,0,375545,Cataract,Condition,1,,879,888,cataracts,<=3 days from enrollment,3,"",-99999,99999,0,1
NCT04361552,NCT04361552,1,1,381316,Cerebrovascular accident,Condition,0,1086746542,396,426,Cerebrovascular accident (CVA),Current,10000,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,381591,Cerebrovascular disease,Condition,0,,1224,1247,cerebrovascular disease,History of,0,"",-99999,99999,0,1
NCT04283461,NCT04283461,1,1,4142985,Female of child bearing age,Condition,0,,2006,2028,childbearing potential,history of,0,"",-99999,99999,0,1
NCT04283461,NCT04283461,1,1,4142985,Female of child bearing age,Condition,0,,5528,5550,childbearing potential,history of,0,"",-99999,99999,0,1
NCT04322682,NCT04322682,1,1,4142985,Female of child bearing age,Condition,0,1086675442,929,951,childbearing potential,for at least 1 year,365,"",-99999,99999,0,1
NCT04365257,NCT04365257,1,1,434490,Chill,Condition,0,1086753942,455,461,chills,"",0,"",-99999,99999,0,1
NCT04372628,NCT04372628,1,1,434490,Chill,Condition,0,1086766342,459,465,chills,for 6 days,6,"",-99999,99999,0,1
NCT04350450,NCT04350450,1,1,46271022,Chronic kidney disease,Condition,0,1086725642,283,305,Chronic kidney disease,"",0,"",-99999,99999,0,1
NCT04351620,NCT04351620,1,1,46271022,Chronic kidney disease,Condition,0,1086727742,957,979,Chronic kidney disease,> 72h,0,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,46271022,Chronic kidney disease,Condition,0,1086745742,982,1004,Chronic kidney disease,for > 72h,0,"",-99999,99999,0,1
NCT04370782,NCT04370782,1,1,46271022,Chronic kidney disease,Condition,0,1086762242,629,657,chronic kidney disease (CKD),history of,0,"",-99999,99999,0,1
NCT04351880,NCT04351880,1,1,4212540,Chronic liver disease,Condition,0,1086728942,414,435,Chronic liver disease,"",0,"",-99999,99999,0,1
NCT04373044,NCT04373044,1,1,4186898,Chronic lung disease,Condition,0,1086768642,534,554,chronic lung disease,"",0,"",-99999,99999,0,1
NCT04322682,NCT04322682,1,1,255573,Chronic obstructive lung disease,Condition,0,1086675342,534,571,chronic obstructive pulmonary disease,at the time of presentation,10000,"",-99999,99999,0,1
NCT04351620,NCT04351620,1,1,255573,Chronic obstructive lung disease,Condition,0,1086727742,691,728,chronic obstructive pulmonary disease,> 72h,0,"",-99999,99999,0,1
NCT04354428,NCT04354428,1,1,255573,Chronic obstructive lung disease,Condition,0,1086733742,486,523,chronic obstructive pulmonary disease,"",0,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,255573,Chronic obstructive lung disease,Condition,0,1086746042,678,715,chronic obstructive pulmonary disease,Current,10000,"",-99999,99999,0,1
NCT04370782,NCT04370782,1,1,255573,Chronic obstructive lung disease,Condition,0,1086762242,667,704,chronic obstructive pulmonary disease,history of,0,"",-99999,99999,0,1
NCT04374019,NCT04374019,1,1,255573,Chronic obstructive lung disease,Condition,0,1086769342,439,476,Chronic Obstructive Pulmonary Disease,"",0,"",-99999,99999,0,1
NCT04351880,NCT04351880,1,1,255573,Chronic obstructive lung disease,Condition,0,1086728942,349,393,Chronic obstructive pulmonary disease (COPD),"",0,"",-99999,99999,0,1
NCT04361552,NCT04361552,1,1,255573,Chronic obstructive lung disease,Condition,0,1086746542,305,349,Chronic obstructive pulmonary disease (COPD),Current,10000,"",-99999,99999,0,1
NCT04331795,NCT04331795_A,1,1,257004,Acute exacerbation of chronic obstructive airways disease,Condition,0,1086686742,951,1008,chronic obstructive pulmonary disease (COPD) exacerbation,history of,0,"",-99999,99999,0,1
NCT04351880,NCT04351880,1,1,46271022,Chronic kidney disease,Condition,0,1086728942,326,347,chronic renal disease,"",0,"",-99999,99999,0,1
NCT04361552,NCT04361552,1,1,46271022,Chronic kidney disease,Condition,0,1086746542,427,448,Chronic renal disease,Current,10000,"",-99999,99999,0,1
NCT04351880,NCT04351880,1,1,4064161,Cirrhosis of liver,Condition,0,1086728942,436,445,cirrhosis,"",0,"",-99999,99999,0,1
NCT04350593,NCT04350593,1,1,46271022,Chronic kidney disease,Condition,0,1086726142,551,554,CKD,"",0,"",-99999,99999,0,1
NCT04320472,NCT04320472,1,1,380834,Coma,Condition,0,,309,313,coma,"",0,"",-99999,99999,0,1
NCT03852537,NCT03852537_pneum,2,1,4293463,Community acquired pneumonia,Condition,0,,92,120,community acquired pneumonia,in the previous 90 days,90,"",-99999,99999,0,1
NCT04345614,NCT04345614,1,1,4164633,Clouded consciousness,Condition,0,1086716642,263,272,confusion,"",0,"",-99999,99999,0,1
NCT04347239,NCT04347239,1,1,4164633,Clouded consciousness,Condition,0,,511,520,confusion,at rest,0,"",-99999,99999,0,1
NCT04349098,NCT04349098,1,1,4164633,Clouded consciousness,Condition,0,1086724242,543,552,confusion,"",0,"",-99999,99999,0,1
NCT04372628,NCT04372628,1,1,4164633,Clouded consciousness,Condition,0,1086766342,486,495,confusion,for 6 days,6,"",-99999,99999,0,1
NCT04372628,NCT04372628,1,1,4312098,Congestion,Condition,0,1086766342,521,531,congestion,for 6 days,6,"",-99999,99999,0,1
NCT04366791,NCT04366791,1,1,37397362,Bilateral lung opacities on chest X-ray,Condition,0,,247,322,consolidations/ground glass opacities on chest x-ray or computed tomography,prior to the schedule date of delivery of low-dose radiation therapy,0,"",-99999,99999,0,1
NCT04349631,NCT04349631,1,1,255573,Chronic obstructive lung disease,Condition,0,1086725242,369,373,COPD,"",0,"",-99999,99999,0,1
NCT04363866,NCT04363866,1,1,255573,Chronic obstructive lung disease,Condition,0,1086751442,1200,1204,COPD,"",0,"",-99999,99999,0,1
NCT04329923,NCT04329923_2,2,1,317576,Coronary arteriosclerosis,Condition,0,1086685242,1510,1533,coronary artery disease,Current  ,10000,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,317576,Coronary arteriosclerosis,Condition,0,1086746242,1061,1084,coronary artery disease,history of,0,"",-99999,99999,0,1
NCT04361552,NCT04361552,1,1,317576,Coronary arteriosclerosis,Condition,0,,372,395,Coronary artery disease,"",0,"",-99999,99999,0,1
NCT04370782,NCT04370782,1,1,317576,Coronary arteriosclerosis,Condition,0,1086762242,604,627,coronary artery disease,history of,0,"",-99999,99999,0,1
NCT04322682,NCT04322682,1,1,317576,Coronary arteriosclerosis,Condition,0,1086675342,601,617,coronary disease,at the time of presentation,10000,"",-99999,99999,0,1
NCT04305457,NCT04305457,1,1,254761,Cough,Condition,0,1086667742,350,355,cough,"",0,"",-99999,99999,0,1
NCT04312997,NCT04312997,1,1,254761,Cough,Condition,0,1086670142,116,121,cough,"If female, the subject must be surgically sterile or  1 year postmenopausal. If of child-bearing potential (including being < 1years postmenopausal) and, if participating in sexual activity that may lead to pregnancy, the subject agrees to use an effective dual method of birth control (acceptable methods include intrauterine device, spermicide, barrier, male partner surgical sterilization, and hormonal contraception) during the study and through 30 days after completion of the study",30,"",-99999,99999,0,1
NCT04319731,NCT04319731,1,1,254761,Cough,Condition,0,1086673642,67,72,cough,"",0,"",-99999,99999,0,1
NCT04329923,NCT04329923_1,1,1,254761,Cough,Condition,0,1086683542,501,506,cough,during pre-medication examination,0,"",-99999,99999,0,1
NCT04332991,NCT04332991,1,1,254761,Cough,Condition,0,1086690842,212,217,cough,"",0,"",-99999,99999,0,1
NCT04332991,NCT04332991,1,1,254761,Cough,Condition,0,1086691042,493,498,Cough,Receipt in the 12 hours prior to enrollment,0,"",-99999,99999,0,1
NCT04334460,NCT04334460,1,1,254761,Cough,Condition,0,1086694342,460,465,Cough,within the past 2 days,2,"",-99999,99999,0,1
NCT04335552,NCT04335552,1,1,254761,Cough,Condition,0,1086697842,800,805,cough,"",0,"",-99999,99999,0,1
NCT04335630,NCT04335630,1,1,254761,Cough,Condition,0,1086698242,94,99,cough,"",0,"",-99999,99999,0,1
NCT04338828,NCT04338828,1,1,254761,Cough,Condition,0,1086702442,196,201,cough,"",0,"",-99999,99999,0,1
NCT04341935,NCT04341935,1,1,254761,Cough,Condition,0,1086708342,202,207,cough,"",0,"",-99999,99999,0,1
NCT04342663,NCT04342663,1,1,254761,Cough,Condition,0,,222,227,cough,Currently,10000,"",-99999,99999,0,1
NCT04343651,NCT04343651,1,1,254761,Cough,Condition,0,1086711842,346,351,cough,"",0,"",-99999,99999,0,1
NCT04345614,NCT04345614,1,1,254761,Cough,Condition,0,1086716642,177,182,cough,"",0,"",-99999,99999,0,1
NCT04347239,NCT04347239,1,1,254761,Cough,Condition,0,1086721042,413,418,cough,within 5 days of screening,5,"",-99999,99999,0,1
NCT04349098,NCT04349098,1,1,254761,Cough,Condition,0,,445,450,cough,using the formula of Cockcroft and Gault,0,"",-99999,99999,0,1
NCT04350450,NCT04350450,1,1,254761,Cough,Condition,0,1086725842,540,545,cough,"",0,"",-99999,99999,0,1
NCT04354155,NCT04354155,1,1,254761,Cough,Condition,0,1086733342,268,273,Cough,"",0,"",-99999,99999,0,1
NCT04359329,NCT04359329,1,1,254761,Cough,Condition,0,,267,272,cough,History of,0,"",-99999,99999,0,1
NCT04365257,NCT04365257,1,1,254761,Cough,Condition,0,1086753942,495,500,cough,"",0,"",-99999,99999,0,1
NCT04366791,NCT04366791,1,1,254761,Cough,Condition,0,1086754842,170,175,cough,at the time of enrollment,10000,"",-99999,99999,0,1
NCT04369742,NCT04369742,1,1,254761,Cough,Condition,0,1086760342,291,296,cough,"",0,"",-99999,99999,0,1
NCT04372628,NCT04372628,1,1,254761,Cough,Condition,0,1086766342,339,344,cough,for 6 days,6,"",-99999,99999,0,1
NCT04373044,NCT04373044,1,1,254761,Cough,Condition,0,1086768842,228,233,Cough,"",0,"",-99999,99999,0,1
NCT04377308,NCT04377308,1,1,254761,Cough,Condition,0,,232,237,cough,"",0,"",-99999,99999,0,1
NCT04377308,NCT04377308,1,1,254761,Cough,Condition,0,1086772742,321,326,cough,"",0,"",-99999,99999,0,1
NCT04379518,NCT04379518,1,1,254761,Cough,Condition,0,1086775642,368,373,cough,"",0,"",-99999,99999,0,1
NCT04380870,NCT04380870,1,1,254761,Cough,Condition,0,,114,119,cough,"",0,"",-99999,99999,0,1
NCT04372628,NCT04372628,1,1,200219,Abdominal pain,Condition,0,1086766342,386,400,abdominal pain,for 6 days,6,"",-99999,99999,0,1
NCT04373044,NCT04373044,1,1,4274025,Disease,Condition,0,1086768542,278,285,disease,"",0,"",-99999,99999,0,1
NCT04334460,NCT04334460,1,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,202,210,COVID-19,at screening,0,"",-99999,99999,0,0
NCT03852537,NCT03852537_pneum,2,1,319049,Acute respiratory failure,Condition,0,1086662742,122,147,Acute respiratory failure,"",0,"",-99999,99999,0,1
NCT04373044,NCT04373044,1,1,4274025,Disease,Condition,0,1086768442,735,742,disease,"",0,"",-99999,99999,0,1
NCT04315298,NCT04315298,1,1,4274025,Disease,Condition,0,1086671242,379,395,critical disease,"",0,"",-99999,99999,0,1
NCT04381013,NCT04381013_3,3,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,305,313,COVID-19,"",0,"",-99999,99999,0,0
NCT04345692,NCT04345692,1,1,4167669,Respiratory crackles,Condition,0,1086718442,529,537,crackles,"",0,"",-99999,99999,0,1
NCT04347226,NCT04347226,1,1,4167669,Respiratory crackles,Condition,0,1086720442,698,706,crackles,"",0,"",-99999,99999,0,1
NCT04370262,NCT04370262,1,1,4167669,Respiratory crackles,Condition,0,1086761242,617,625,crackles,"",0,"",-99999,99999,0,1
NCT04380961,NCT04380961,1,1,4167669,Respiratory crackles,Condition,0,1086778342,371,379,crackles,"",0,"",-99999,99999,0,1
NCT04351620,NCT04351620,1,1,441267,Cystic fibrosis,Condition,0,1086727742,746,761,cystic fibrosis,> 72h,0,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,441267,Cystic fibrosis,Condition,0,,733,748,cystic fibrosis,History of,0,"",-99999,99999,0,1
NCT04344184,NCT04344184,1,1,9999,Decrease in oxygenation,Condition,0,1086714142,163,186,decrease in oxygenation,"",0,"",-99999,99999,0,1
NCT04343755,NCT04343755_recipient,2,1,435796,Dehydration,Condition,0,1086713042,989,1000,dehydration,"",0,"",-99999,99999,0,1
NCT04320472,NCT04320472,1,1,373995,Delirium,Condition,0,,262,270,delirium,"",0,"",-99999,99999,0,1
NCT04357782,NCT04357782,1,1,4047641,Decreased oxygen blood pressure,Condition,0,1086739842,211,224,deoxygenation,on admission,0,"",-99999,99999,0,1
NCT04329923,NCT04329923_2,2,1,201820,Diabetes mellitus,Condition,0,1086685242,1535,1543,diabetes,Current  ,10000,"",-99999,99999,0,1
NCT04350450,NCT04350450,1,1,201820,Diabetes mellitus,Condition,0,1086725642,273,281,Diabetes,"",0,"",-99999,99999,0,1
NCT04351620,NCT04351620,1,1,201820,Diabetes mellitus,Condition,0,1086727742,933,941,diabetes,> 72h,0,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,201820,Diabetes mellitus,Condition,0,,919,927,diabetes,History of,0,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,201820,Diabetes mellitus,Condition,0,1086745742,919,927,diabetes,for > 72h,0,"",-99999,99999,0,1
NCT04361552,NCT04361552,1,1,201820,Diabetes mellitus,Condition,0,1086746542,350,358,Diabetes,Current,10000,"",-99999,99999,0,1
NCT04363866,NCT04363866,1,1,201820,Diabetes mellitus,Condition,0,1086751542,1155,1163,Diabetes,"",0,"",-99999,99999,0,1
NCT04322682,NCT04322682,1,1,201820,Diabetes mellitus,Condition,0,1086675342,405,422,diabetes mellitus,at the time of presentation,10000,"",-99999,99999,0,1
NCT04349631,NCT04349631,1,1,201820,Diabetes mellitus,Condition,0,1086725242,342,359,diabetes mellitus,"",0,"",-99999,99999,0,1
NCT04351880,NCT04351880,1,1,201820,Diabetes mellitus,Condition,0,1086728942,395,412,Diabetes Mellitus,"",0,"",-99999,99999,0,1
NCT04377308,NCT04377308,1,1,437663,Fever,Condition,0,,225,230,fever,"",0,"",-99999,99999,0,1
NCT04365699,NCT04365699_intervention,1,1,201820,Diabetes mellitus,Condition,0,1086754542,498,515,diabetes mellitus,"",0,"",-99999,99999,0,1
NCT04372602,NCT04372602,1,1,4274025,Disease,Condition,0,1086765242,417,424,disease,"",0,"",-99999,99999,0,1
NCT04370782,NCT04370782,1,1,201820,Diabetes mellitus,Condition,0,1086762242,574,591,diabetes mellitus,history of,0,"",-99999,99999,0,1
NCT04373044,NCT04373044,1,1,201820,Diabetes mellitus,Condition,0,1086768642,492,509,diabetes mellitus,"",0,"",-99999,99999,0,1
NCT04374019,NCT04374019,1,1,201820,Diabetes mellitus,Condition,0,1086769342,402,419,Diabetes Mellitus,"",0,"",-99999,99999,0,1
NCT04354428,NCT04354428,1,1,201254,Type 1 diabetes mellitus,Condition,0,1086733942,560,585,Diabetes mellitus type 1,"",0,"",-99999,99999,0,1
NCT04354428,NCT04354428,1,1,201826,Type 2 diabetes mellitus,Condition,0,1086733942,560,595,Diabetes mellitus type 2,"",0,"",-99999,99999,0,1
NCT04329923,NCT04329923_1,1,1,196523,Diarrhea,Condition,0,1086683542,548,556,diarrhea,during pre-medication examination,0,"",-99999,99999,0,1
NCT04341935,NCT04341935,1,1,196523,Diarrhea,Condition,0,1086708342,259,267,diarrhea,"",0,"",-99999,99999,0,1
NCT04342663,NCT04342663,1,1,196523,Diarrhea,Condition,0,,252,260,diarrhea,Currently,10000,"",-99999,99999,0,1
NCT04350450,NCT04350450,1,1,196523,Diarrhea,Condition,0,1086725842,572,580,Diarrhea,"",0,"",-99999,99999,0,1
NCT04365257,NCT04365257,1,1,196523,Diarrhea,Condition,0,1086753942,485,493,diarrhea,"",0,"",-99999,99999,0,1
NCT04369742,NCT04369742,1,1,196523,Diarrhea,Condition,0,1086760342,307,315,diarrhea,"",0,"",-99999,99999,0,1
NCT04372628,NCT04372628,1,1,196523,Diarrhea,Condition,0,1086766342,419,427,diarrhea,for 6 days,6,"",-99999,99999,0,1
NCT04380870,NCT04380870,1,1,196523,Diarrhea,Condition,0,1086777742,149,157,diarrhea,in the last 28 days,28,"",-99999,99999,0,1
NCT04369742,NCT04369742,1,1,442752,Muscle pain,Condition,0,1086760342,325,341,diffuse myalgias,"",0,"",-99999,99999,0,1
NCT04377620,NCT04377620,1,1,4249557,Radiologic infiltrate of lung,Condition,0,1086773142,525,554,diffuse pulmonary infiltrates,"",0,"",-99999,99999,0,1
NCT03648372,NCT03648372_covid,1,1,4274025,Disease,Condition,0,1086655942,1858,1865,disease,"",0,"",-99999,99999,0,1
NCT04320511,NCT04320511,1,1,4274025,Disease,Condition,0,,124,131,disease,"",0,"",-99999,99999,0,1
NCT04341116,NCT04341116,1,1,4274025,Disease,Condition,0,1086705542,363,370,disease,"",0,"",-99999,99999,0,1
NCT04381052,NCT04381052,1,1,4274025,Disease,Condition,0,,924,931,disease,<72 hours prior to enrollment,3,"",-99999,99999,0,1
NCT04351620,NCT04351620,1,1,4038519,Dry cough,Condition,0,1086727642,439,448,dry cough,"",0,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,4038519,Dry cough,Condition,0,,434,443,dry cough,History of,0,"",-99999,99999,0,1
NCT04322682,NCT04322682,1,1,312437,Dyspnea,Condition,0,1086675342,660,667,dyspnea,at the time of presentation,10000,"",-99999,99999,0,1
NCT04335630,NCT04335630,1,1,312437,Dyspnea,Condition,0,1086698242,125,132,dyspnea,"",0,"",-99999,99999,0,1
NCT04338360,NCT04338360,1,1,312437,Dyspnea,Condition,0,1086702242,459,466,dyspnea,within 24 to 48 hours,2,"",-99999,99999,0,1
NCT04338828,NCT04338828,1,1,312437,Dyspnea,Condition,0,1086702442,232,239,dyspnea,"",0,"",-99999,99999,0,1
NCT04340050,NCT04340050_recipient,2,1,312437,Dyspnea,Condition,0,1086703242,198,205,dyspnea,within 24 to 48 hours,2,"",-99999,99999,0,1
NCT04342663,NCT04342663,1,1,312437,Dyspnea,Condition,0,1086709542,243,250,dyspnea,"",0,"",-99999,99999,0,1
NCT04343261,NCT04343261,1,1,312437,Dyspnea,Condition,0,1086711542,230,237,dyspnea,within 24 to 48 hours,2,"",-99999,99999,0,1
NCT04343755,NCT04343755_recipient,2,1,312437,Dyspnea,Condition,0,1086713042,980,987,dyspnea,"",0,"",-99999,99999,0,1
